"","term.1940.1950","freq.1940.1950","term.1950.1960","freq.1950.1960","term.1960.1970","freq.1960.1970","term.1970.1980","freq.1970.1980","term.1980.1990","freq.1980.1990","term.1990.2000","freq.1990.2000","term.2000.2010","freq.2000.2010","term.2010.2020","freq.2010.2020"
"1","action",387,"story",385,"love",329,"love",337,"love",300,"love",539,"love",682,"love",569
"2","love",380,"love",265,"story",261,"story",276,"story",253,"life",429,"life",650,"life",526
"3","story",279,"world",178,"world",218,"film",215,"life",241,"story",334,"story",408,"story",360
"4","thrills",276,"terror",167,"picture",188,"time",194,"time",235,"time",278,"world",328,"world",288
"5","adventure",272,"adventure",165,"film",139,"world",189,"hes",230,"world",278,"time",288,"sometimes",231
"6","romance",221,"woman",163,"woman",138,"life",178,"world",229,"comedy",265,"sometimes",242,"dont",223
"7","gun",196,"screen",161,"adventure",136,"movie",146,"comedy",170,"hes",237,"film",212,"time",223
"8","west",192,"picture",151,"life",128,"death",136,"adventure",167,"murder",202,"dont",205,"film",181
"9","thrill",189,"gun",133,"time",127,"terror",133,"terror",155,"film",169,"comedy",186,"family",166
"10","screen",188,"girl",131,"motion",126,"hes",132,"movie",144,"dont",164,"family",174,"cant",143
